transaction_date,day_of_week,city,lat,long,transaction_type,description,detailed_notes,category,subcategory,amount_USD,amount_ARS,ARS/USD,Questions
2/18/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,UBER 9429,uber trip,Transportation,,3.63,3622.00,,
2/18/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,UBER 9429,uber trip,Transportation,,3.69,3690.00,,
2/18/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,GN Bresh Barra,bresh drincks,Entertainment,Alcohol,4.21,,,
2/18/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,STARBUCKS UCA 0144,tea,Snacks,Coffee,4.31,4300.00,,
2/18/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,UBER 9429,uber trip,Transportation,,4.50,4490.00,,
2/18/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,UBER 9429,uber trip,Transportation,,4.55,4547.00,,
2/18/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,UP TOWN,NY Bar drinks,Entertainment,Alcohol,7.01,,,
2/18/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,GN Bresh Barra,bresh drincks,Entertainment,Alcohol,8.01,,,
2/18/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,MERCADOPAGO*ELLEGADO 1942,breakfast,Dining,,10.61,,,
2/18/24,Sunday,Buenos Aires,-34.6037,-58.3816,cash,drunks at nyc place,drunks at nyc place,Entertainment,Alcohol,11.74,14000.00,,estimate usd
2/18/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,UP TOWN,NY Bar drinks,Entertainment,Alcohol,14.02,,,
2/18/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,UP TOWN,NY Bar drinks,Entertainment,Alcohol,14.02,,,
2/18/24,Sunday,Buenos Aires,-34.6037,-58.3816,cash,messi jerseys,messi jerseys,Misc,,14.67,17500.00,,estimate usd
2/18/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,MERCADOPAGO*BRUTCAFE 1942,lunch,Dining,,16.32,16300.00,,
2/18/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,RAPPI ARG S.A.S.,burrito place,Dining,,19.22,19199.50,,
2/19/24,Monday,Buenos Aires,-34.6037,-58.3816,cash,ninina,coffee,Snacks,Coffee,2.35,2800.00,,estimate usd
2/19/24,Monday,Buenos Aires,-34.6037,-58.3816,credit,UBER 9429,uber trip,Transportation,,2.59,2611.00,,
2/19/24,Monday,Buenos Aires,-34.6037,-58.3816,credit,UBER 9429,uber trip,Transportation,,2.70,2790.00,,
2/19/24,Monday,Buenos Aires,-34.6037,-58.3816,credit,WWW CLARO.COM 7834,phone charge,Misc,,3.00,,,
2/19/24,Monday,Buenos Aires,-34.6037,-58.3816,credit,UBER 9429,uber trip,Transportation,,3.40,3399.00,,
2/19/24,Monday,Buenos Aires,-34.6037,-58.3816,cash,2 wines,2 wines,Entertainment,Alcohol,5.03,6000.00,,estimate usd
2/19/24,Monday,Buenos Aires,-34.6037,-58.3816,credit,FUNDACION MALBA,art museum,Excursion,,20.03,20000.00,,
2/19/24,Monday,Buenos Aires,-34.6037,-58.3816,credit,COSI MI PIACE 1137,pizza place,Dining,,26.11,27000.00,,
2/20/24,Tuesday,Buenos Aires,-34.6037,-58.3816,cash,bathroom,bathroom,Misc,,0.42,500.00,,estimate usd
2/20/24,Tuesday,Buenos Aires,-34.6037,-58.3816,credit,UBER 9429,uber trip,Transportation,,1.83,1890.00,,
2/20/24,Tuesday,Buenos Aires,-34.6037,-58.3816,credit,UBER 9429,uber trip,Transportation,,4.35,4390.00,,
2/20/24,Tuesday,Buenos Aires,-34.6037,-58.3816,credit,UBER 9429,uber trip,Transportation,,5.58,5773.00,,
2/20/24,Tuesday,Buenos Aires,-34.6037,-58.3816,cash,liquadis,liquadis,Snacks,,5.87,7000.00,,estimate usd
2/20/24,Tuesday,Buenos Aires,-34.6037,-58.3816,credit,UBER 9429,uber trip,Transportation,,6.33,6547.00,,
2/20/24,Tuesday,Buenos Aires,-34.6037,-58.3816,cash,water and wine,water and wine,Entertainment,Alcohol,6.71,8000.00,,estimate usd
2/20/24,Tuesday,Buenos Aires,-34.6037,-58.3816,credit,Market Palermo (Soler4415,carrefour,Entertainment,Alcohol,10.86,11558.00,,
2/20/24,Tuesday,Buenos Aires,-34.6037,-58.3816,cash,lunch,lunch,Health,,11.90,14200.00,,estimate usd
2/20/24,Tuesday,Buenos Aires,-34.6037,-58.3816,credit,COTO 024 1519,alc,Entertainment,Alcohol,12.48,12594.00,,
2/20/24,Tuesday,Buenos Aires,-34.6037,-58.3816,cash,myndo lingo drinks,myndo lingo drinks,Entertainment,Alcohol,12.74,15200.00,,estimate usd
2/20/24,Tuesday,Buenos Aires,-34.6037,-58.3816,credit,RAPPI ARG S.A.S.,swarma,Dining,,35.09,35399.50,,
2/21/24,Wednesday,Buenos Aires,-34.6037,-58.3816,cash,airport beer,airport beer,Entertainment,Alcohol,2.93,3500.00,,estimate usd
2/21/24,Wednesday,Buenos Aires,-34.6037,-58.3816,credit,2006 SA,airport beer,Entertainment,Alcohol,4.33,4370.00,,
